11:01:42 - 開始處理語言: zh-CN (包容關係相容版本)
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.app.storiesText
11:01:42 - 跳過空白替換結果 - 公部門: v3.app.storiesText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.app.storiesText
11:01:42 - 調試信息 - 匹配位置: 7-9
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.app.interactionText
11:01:42 - 跳過空白替換結果 - 公部門: v3.app.interactionText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.app.interactionText
11:01:42 - 調試信息 - 匹配位置: 18-20
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.app.discussionText
11:01:42 - 跳過空白替換結果 - 公部門: v3.app.discussionText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.app.discussionText
11:01:42 - 調試信息 - 匹配位置: 28-30
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.app.assignmentMgtText
11:01:42 - 跳過空白替換結果 - 公部門: v3.app.assignmentMgtText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.app.assignmentMgtText
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.app.assignmentMgtText
11:01:42 - 跳過空白替換結果 - 公部門: v3.app.assignmentMgtText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.app.assignmentMgtText
11:01:42 - 調試信息 - 匹配位置: 23-25
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.app.assessmentMgtText
11:01:42 - 跳過空白替換結果 - 公部門: v3.app.assessmentMgtText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.app.assessmentMgtText
11:01:42 - 調試信息 - 匹配位置: 5-7
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.app.assessmentMgtText
11:01:42 - 跳過空白替換結果 - 公部門: v3.app.assessmentMgtText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.app.assessmentMgtText
11:01:42 - 調試信息 - 匹配位置: 28-30
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.app.analyticText
11:01:42 - 跳過空白替換結果 - 公部門: v3.app.analyticText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.app.analyticText
11:01:42 - 調試信息 - 匹配位置: 45-47
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.app.analyticText
11:01:42 - 跳過空白替換結果 - 公部門: v3.app.analyticText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.app.analyticText
11:01:42 - 調試信息 - 匹配位置: 0-2
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.corporateTraining.useTronClass.inClassModuleText
11:01:42 - 跳過空白替換結果 - 公部門: v3.corporateTraining.useTronClass.inClassModuleText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.corporateTraining.useTronClass.inClassModuleText
11:01:42 - 調試信息 - 匹配位置: 22-24
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: v3.corporateTraining.useTronClass.videoIntegrationText
11:01:42 - 跳過空白替換結果 - 公部門: v3.corporateTraining.useTronClass.videoIntegrationText
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.corporateTraining.useTronClass.videoIntegrationText
11:01:42 - 調試信息 - 匹配位置: 8-10
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.tcVersion.personal.studentPerCourse
11:01:42 - 跳過空白替換結果 - 公部門: v3.tcVersion.personal.studentPerCourse
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.tcVersion.personal.studentPerCourse
11:01:42 - 調試信息 - 匹配位置: 7-9
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: v3.tcVersion.campus.moreSpace
11:01:42 - 跳過空白替換結果 - 公部門: v3.tcVersion.campus.moreSpace
11:01:42 - 跳過空白替換結果 - 培訓機構: v3.tcVersion.campus.moreSpace
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: air.aiAssistantUse
11:01:42 - 跳過空白替換結果 - 公部門: air.aiAssistantUse
11:01:42 - 跳過空白替換結果 - 培訓機構: air.aiAssistantUse
11:01:42 - 調試信息 - 匹配位置: 2-4
11:01:42 - 調試信息 - 敏感詞分類: 學員相關
11:01:42 - 跳過空白替換結果 - 企業: attendanceAnalysis.administrativeClass
11:01:42 - 跳過空白替換結果 - 公部門: attendanceAnalysis.administrativeClass
11:01:42 - 跳過空白替換結果 - 培訓機構: attendanceAnalysis.administrativeClass
11:01:42 - 調試信息 - 匹配位置: 3-5
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: courseNavigation.instructor
11:01:42 - 跳過空白替換結果 - 公部門: courseNavigation.instructor
11:01:42 - 跳過空白替換結果 - 培訓機構: courseNavigation.instructor
11:01:42 - 調試信息 - 匹配位置: 5-7
11:01:42 - 調試信息 - 敏感詞分類: 師資相關
11:01:42 - 跳過空白替換結果 - 企業: courseNavigation.student
11:01:42 - 跳過空白替換結果 - 公部門: courseNavigation.student
11:01:42 - 跳過空白替換結果 - 培訓機構: courseNavigation.student
11:01:42 - 解析完成統計: {'total_rows': 90}
11:01:42 - 總更新項目數: 0
11:01:42 - 開始處理業態: 企業
11:01:42 - 企業 處理完成: 總更新 0 個
11:01:42 - 開始處理業態: 公部門
11:01:42 - 公部門 處理完成: 總更新 0 個
11:01:42 - 開始處理業態: 培訓機構
11:01:42 - 培訓機構 處理完成: 總更新 0 個
11:01:42 - 語言 zh-CN 處理完成: 成功 3/3 個業態
11:01:42 - 摘要報告已生成：i18n_output/zh-CN_20250612_110142/processing_summary_20250612_110142.txt
